fixations_tgt1,jumps_tgt1,time_tgt1,fixations_tgt2,jumps_tgt2,time_tgt2,choice
1,7,186,0,2,57,1
1,4,101,1,1,54,1
3,2,81,2,0,109,0
0,6,382,1,4,242,0
0,2,38,0,4,141,0
1,4,45,0,0,46,0
4,0,54,0,0,53,1
0,10,457,1,0,132,1
1,5,316,0,5,238,1
0,2,71,1,2,82,0
2,8,74,2,5,253,0
1,7,33,1,3,118,0
2,4,387,1,5,59,1
0,5,105,1,1,186,0
2,0,55,1,0,38,1
0,2,60,0,0,88,0
1,6,85,0,2,35,1
1,7,276,0,5,134,1
1,9,124,0,4,75,0
4,13,396,0,0,109,1
2,14,17,2,13,27,0
4,8,2,0,9,29,1
1,0,125,1,0,50,0
1,9,102,3,5,27,1
0,6,48,1,4,88,0
1,8,113,0,0,84,0
1,19,176,0,12,84,0
2,23,48,3,12,248,0
1,6,226,1,5,216,0
0,2,30,1,0,72,1
5,22,20,3,19,210,0
0,9,71,1,6,35,0
2,3,175,1,2,92,0
0,3,57,2,2,4,0
0,5,74,3,4,10,1
1,16,409,3,12,428,0
5,12,13,1,7,94,0
5,14,241,1,11,148,1
4,21,494,7,14,352,0
5,10,67,1,7,100,0
0,8,228,2,8,71,1
0,2,60,1,1,49,1
2,20,521,2,14,204,1
0,7,84,0,2,109,1
0,3,65,0,3,30,1
2,0,147,2,0,161,0
3,5,37,2,5,356,1
3,13,160,3,16,230,0
2,17,188,1,18,162,0
3,8,4,1,7,135,1
2,13,77,5,9,246,1
5,11,18,1,3,116,1
1,8,321,4,4,155,0
2,8,296,2,0,183,1
0,3,31,1,2,21,1
1,2,218,0,2,81,0
1,6,113,0,7,71,0
1,6,29,0,4,48,1
2,14,758,2,3,258,1
0,5,0,1,6,23,0
2,11,3,4,7,26,0
2,12,28,0,3,1,1
2,0,278,0,2,126,1
1,12,4,4,8,15,1
1,12,24,1,12,322,1
0,4,4,3,8,23,1
0,10,305,0,0,424,1
4,13,0,1,7,113,1
2,15,113,1,13,25,0
4,4,84,4,8,9,1
2,8,267,1,8,22,1
3,14,19,0,4,102,0
4,14,2,1,7,47,0
5,22,70,4,8,222,0
3,10,111,0,5,180,0
1,6,53,2,4,82,1
2,22,506,2,13,488,0
0,12,0,0,6,48,0
3,22,47,4,13,78,0
7,20,51,5,14,123,0
1,16,70,0,20,137,0
0,8,118,0,10,58,1
2,13,0,0,23,38,0
